"OSQ090j.Code.or.Value","OSQ090j.Value.Description","OSQ090j.Count","OSQ090j.Cumulative","OSQ090j.Skip.to.Item"
"1","Yes",7,7,"OSQ120j"
"2","No",1,8,""
"7","Refused",0,8,"OSQ120j"
"9","Don't know",0,8,"OSQ120j"
".","Missing",3061,3069,""
