"BPQ100A.Code.or.Value","BPQ100A.Value.Description","BPQ100A.Count","BPQ100A.Cumulative","BPQ100A.Skip.to.Item"
"1","Yes",1304,1304,NA
"2","No",248,1552,NA
"7","Refused",0,1552,NA
"9","Don't know",0,1552,NA
".","Missing",5337,6889,NA
