"RFXC079.Code.or.Value","RFXC079.Value.Description","RFXC079.Count","RFXC079.Cumulative","RFXC079.Skip.to.Item"
"-7.553 to 5.179","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
