"TYXP011.Code.or.Value","TYXP011.Value.Description","TYXP011.Count","TYXP011.Cumulative","TYXP011.Skip.to.Item"
"91 to 197","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
