"LBDHRPLC.Code.or.Value","LBDHRPLC.Value.Description","LBDHRPLC.Count","LBDHRPLC.Cumulative","LBDHRPLC.Skip.to.Item"
"0","At or above detection limit",7175,7175,NA
"1","Below lower detection limit",75,7250,NA
".","Missing",1116,8366,NA
