"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",604,604,NA
"2","No",6573,7177,NA
"7","Refused",1,7178,NA
"9","Don't know",30,7208,NA
".","Missing",227,7435,NA
