"RFXT105.Code.or.Value","RFXT105.Value.Description","RFXT105.Count","RFXT105.Cumulative","RFXT105.Skip.to.Item"
"911 to 920","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
