"WBXF086.Code.or.Value","WBXF086.Value.Description","WBXF086.Count","WBXF086.Cumulative","WBXF086.Skip.to.Item"
"4362.0309 to 4362.0309","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
