"BIDFC.Code.or.Value","BIDFC.Value.Description","BIDFC.Count","BIDFC.Cumulative","BIDFC.Skip.to.Item"
"2 to 896","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
