"PAXQFD.Code.or.Value","PAXQFD.Value.Description","PAXQFD.Count","PAXQFD.Cumulative","PAXQFD.Skip.to.Item"
"0 to 3110","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
