"MGXH1T3E.Code.or.Value","MGXH1T3E.Value.Description","MGXH1T3E.Count","MGXH1T3E.Cumulative","MGXH1T3E.Skip.to.Item"
"1","Maximal",7679,7679,NA
"2","Questionable",107,7786,NA
".","Missing",505,8291,NA
