"DXDRALE.Code.or.Value","DXDRALE.Value.Description","DXDRALE.Count","DXDRALE.Cumulative","DXDRALE.Skip.to.Item"
"720.1 to 7968.7","Range of Values",4008,4008,NA
".","Missing",1106,5114,NA
