"URXSSF.Code.or.Value","URXSSF.Value.Description","URXSSF.Count","URXSSF.Cumulative","URXSSF.Skip.to.Item"
"0.0354","0.0354",2529,2529,NA
"0.07","0.07",1,2530,NA
".","Missing",164,2694,NA
