"TYXA212.Code.or.Value","TYXA212.Value.Description","TYXA212.Count","TYXA212.Cumulative","TYXA212.Skip.to.Item"
"0.344 to 4.031","Range of Values",234,234,NA
".","Missing",5351,5585,NA
