"ARQ080.Code.or.Value","ARQ080.Value.Description","ARQ080.Count","ARQ080.Cumulative","ARQ080.Skip.to.Item"
"1","Yes",930,930,NA
"2","No",410,1340,NA
"3","DOES NOT DO THESE ACTIVITIES",72,1412,NA
"7","Refused",1,1413,NA
"9","Don't know",9,1422,NA
".","Missing",3684,5106,NA
