"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",2619,2619,NA
"1","Below lower detection limit",36,2655,NA
".","Missing",324,2979,NA
