"SSPRNL.Code.or.Value","SSPRNL.Value.Description","SSPRNL.Count","SSPRNL.Cumulative","SSPRNL.Skip.to.Item"
"0","At or above LLOQ",5911,5911,NA
"1","Below LLOQ",0,5911,NA
".","Missing",0,5911,NA
