"LBDEOALC.Code.or.Value","LBDEOALC.Value.Description","LBDEOALC.Count","LBDEOALC.Cumulative","LBDEOALC.Skip.to.Item"
"0","detectable result",2342,2342,NA
"1","below detectable limit",33,2375,NA
".","Missing",317,2692,NA
