"SSCA125.Code.or.Value","SSCA125.Value.Description","SSCA125.Count","SSCA125.Cumulative","SSCA125.Skip.to.Item"
"0.73 to 569.37","Range of Values",2391,2391,NA
".","Missing",0,2391,NA
