"SSPFBA.Code.or.Value","SSPFBA.Value.Description","SSPFBA.Count","SSPFBA.Cumulative","SSPFBA.Skip.to.Item"
"0.07 to 3.4","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
