"SEQ080.Code.or.Value","SEQ080.Value.Description","SEQ080.Count","SEQ080.Cumulative","SEQ080.Skip.to.Item"
"1","Excluded",367,367,NA
"2","Reviewed, not excluded",3426,3793,NA
".","Missing",5039,8832,NA
