"AAXBDMAT.Code.or.Value","AAXBDMAT.Value.Description","AAXBDMAT.Count","AAXBDMAT.Cumulative","AAXBDMAT.Skip.to.Item"
"1","Yes",444,444,NA
"2","No",6486,6930,NA
"9","Don't know",5,6935,NA
".","Missing",2505,9440,NA
