"DID330.Code.or.Value","DID330.Value.Description","DID330.Count","DID330.Cumulative","DID330.Skip.to.Item"
"15 to 250","Range of Values",100,100,NA
"6666","Provider did not specify goal",284,384,NA
"7777","Refused",7,391,NA
"9999","Don't know",440,831,NA
".","Missing",8066,8897,NA
