"WTSHM52.Code.or.Value","WTSHM52.Value.Description","WTSHM52.Count","WTSHM52.Cumulative","WTSHM52.Skip.to.Item"
"0.0000000 to 747789.3668600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
