"IMQ090.Code.or.Value","IMQ090.Value.Description","IMQ090.Count","IMQ090.Cumulative","IMQ090.Skip.to.Item"
"1 to 57","Range of Values",751,751,NA
"777","Refused",1,752,NA
"999","Don't know",178,930,NA
".","Missing",8324,9254,NA
