"RDQ080.Code.or.Value","RDQ080.Value.Description","RDQ080.Count","RDQ080.Cumulative","RDQ080.Skip.to.Item"
"1 to 12","Range of Values",1189,1189,NA
"7777","Refused",0,1189,NA
"9999","Don't know",29,1218,NA
".","Missing",8146,9364,NA
