"ARQ023QC.Code.or.Value","ARQ023QC.Value.Description","ARQ023QC.Count","ARQ023QC.Cumulative","ARQ023QC.Skip.to.Item"
"20 to 68","Range of Values",30,30,NA
"777","Refused",0,30,NA
"999","Don't know",0,30,NA
".","Missing",5076,5106,NA
