"OPDSSWRT.Code.or.Value","OPDSSWRT.Value.Description","OPDSSWRT.Count","OPDSSWRT.Cumulative","OPDSSWRT.Skip.to.Item"
"0","No",3083,3083,NA
"1","Questionable",15,3098,NA
"2","Yes",47,3145,NA
"3","Yes, in center",12,3157,NA
".","Missing",706,3863,NA
