"PADTIMES.Code.or.Value","PADTIMES.Value.Description","PADTIMES.Count","PADTIMES.Cumulative","PADTIMES.Skip.to.Item"
"1 to 300","Range of Values",14202,14202,NA
".","Missing",10,14212,NA
