"AUXLR124.Code.or.Value","AUXLR124.Value.Description","AUXLR124.Count","AUXLR124.Cumulative","AUXLR124.Skip.to.Item"
"-64 to 66","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
