"WBXP029.Code.or.Value","WBXP029.Value.Description","WBXP029.Count","WBXP029.Cumulative","WBXP029.Skip.to.Item"
"-172.4057 to 143.122","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
