"SSCTMBFI.Code.or.Value","SSCTMBFI.Value.Description","SSCTMBFI.Count","SSCTMBFI.Cumulative","SSCTMBFI.Skip.to.Item"
"9 to 59392","Range of Values",807,807,NA
".","Missing",0,807,NA
