"ARQ030C.Code.or.Value","ARQ030C.Value.Description","ARQ030C.Count","ARQ030C.Cumulative","ARQ030C.Skip.to.Item"
"1","Yes",33,33,""
"2","No",1372,1405,"ARQ030D"
"7","Refused",0,1405,"ARQ030D"
"9","Don't know",17,1422,"ARQ030D"
".","Missing",3684,5106,""
