"LBDZXYLC.Code.or.Value","LBDZXYLC.Value.Description","LBDZXYLC.Count","LBDZXYLC.Cumulative","LBDZXYLC.Skip.to.Item"
"0","Result at or above the limit of detection.",623,623,NA
"1","Result below the limit of detection.",23,646,NA
".","Missing",205,851,NA
