"URDPARLC.Code.or.Value","URDPARLC.Value.Description","URDPARLC.Count","URDPARLC.Cumulative","URDPARLC.Skip.to.Item"
"0","At or above the detection limit",2547,2547,NA
"1","Below lower detection limit",37,2584,NA
".","Missing",175,2759,NA
