"WTSPP28.Code.or.Value","WTSPP28.Value.Description","WTSPP28.Count","WTSPP28.Cumulative","WTSPP28.Skip.to.Item"
"0 to 850829.07675","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
