"TYXP093.Code.or.Value","TYXP093.Value.Description","TYXP093.Count","TYXP093.Cumulative","TYXP093.Skip.to.Item"
"-287 to 135","Range of Values",5570,5570,NA
".","Missing",15,5585,NA
