"WTSCI48.Code.or.Value","WTSCI48.Value.Description","WTSCI48.Count","WTSCI48.Cumulative","WTSCI48.Skip.to.Item"
"0 to 454320.2157","Range of Values",727,727,NA
".","Missing",51,778,NA
