"WBXA018.Code.or.Value","WBXA018.Value.Description","WBXA018.Count","WBXA018.Cumulative","WBXA018.Skip.to.Item"
"-1.9105 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
