"WTSPO14.Code.or.Value","WTSPO14.Value.Description","WTSPO14.Count","WTSPO14.Cumulative","WTSPO14.Skip.to.Item"
"0.0000000 to 873106.5442600","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
