"WBXP002.Code.or.Value","WBXP002.Value.Description","WBXP002.Count","WBXP002.Cumulative","WBXP002.Skip.to.Item"
"-75.0274 to 161.2179","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
