"OSQ070.Code.or.Value","OSQ070.Value.Description","OSQ070.Count","OSQ070.Cumulative","OSQ070.Skip.to.Item"
"1","Yes",228,228,NA
"2","No",120,348,NA
"7","Refused",0,348,NA
"9","Don't know",0,348,NA
".","Missing",5870,6218,NA
