"DXDTRBMD.Code.or.Value","DXDTRBMD.Value.Description","DXDTRBMD.Count","DXDTRBMD.Cumulative","DXDTRBMD.Skip.to.Item"
"0.446 to 1.557","Range of Values",3918,3918,NA
".","Missing",1196,5114,NA
