"WTSBA35.Code.or.Value","WTSBA35.Value.Description","WTSBA35.Count","WTSBA35.Cumulative","WTSBA35.Skip.to.Item"
"0 to 354148.37842","Range of Values",946,946,NA
".","Missing",65,1011,NA
