"PFQ040.Code.or.Value","PFQ040.Value.Description","PFQ040.Count","PFQ040.Cumulative","PFQ040.Skip.to.Item"
"1","Yes",265,265,NA
"2","No",3176,3441,NA
"7","Refused",0,3441,NA
"9","Don't know",3,3444,NA
".","Missing",6049,9493,NA
