"VIXPLA.Code.or.Value","VIXPLA.Value.Description","VIXPLA.Count","VIXPLA.Cumulative","VIXPLA.Skip.to.Item"
"0 to 180","Range of Values",2155,2155,NA
"888","Could not obtain",69,2224,NA
".","Missing",4693,6917,NA
