"ARQ023GA.Code.or.Value","ARQ023GA.Value.Description","ARQ023GA.Count","ARQ023GA.Cumulative","ARQ023GA.Skip.to.Item"
"1","ENTER AGE IN YEARS",56,56,NA
"3","HAD LESS THAN 1 YEAR AGO BUT NOT NOW",13,69,NA
"7","Refused",0,69,NA
"9","Don't know",1,70,NA
".","Missing",5036,5106,NA
