"OCQ280.Code.or.Value","OCQ280.Value.Description","OCQ280.Count","OCQ280.Cumulative","OCQ280.Skip.to.Item"
"1","Yes",1739,1739,NA
"2","No",1379,3118,NA
"7","Refused",1,3119,NA
"9","Don't know",13,3132,NA
".","Missing",4163,7295,NA
