"DLQ060.Code.or.Value","DLQ060.Value.Description","DLQ060.Count","DLQ060.Cumulative","DLQ060.Skip.to.Item"
"1","Yes",412,412,NA
"2","No",7644,8056,NA
"7","Refused",0,8056,NA
"9","Don't know",0,8056,NA
".","Missing",842,8898,NA
