"OHQ780B.Code.or.Value","OHQ780B.Value.Description","OHQ780B.Count","OHQ780B.Cumulative","OHQ780B.Skip.to.Item"
"11","Did not want to spend the money",88,88,NA
".","Missing",8809,8897,NA
