"LBDET1LC.Code.or.Value","LBDET1LC.Value.Description","LBDET1LC.Count","LBDET1LC.Cumulative","LBDET1LC.Skip.to.Item"
"0","At or above the detection limit",3776,3776,NA
"1","Below lower detection limit",6,3782,NA
".","Missing",1861,5643,NA
