"BIXS273K.Code.or.Value","BIXS273K.Value.Description","BIXS273K.Count","BIXS273K.Cumulative","BIXS273K.Skip.to.Item"
"169.35 to 848.18","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
