"SXQ292.Code.or.Value","SXQ292.Value.Description","SXQ292.Count","SXQ292.Cumulative","SXQ292.Skip.to.Item"
"1","Heterosexual or straight (attracted to women)",1687,1687,NA
"2","Homosexual or gay (attracted to men)",40,1727,NA
"3","Bisexual (attracted to men and women)",25,1752,NA
"4","Something else",10,1762,NA
"5","Not sure",10,1772,NA
"7","Refused",7,1779,NA
"9","Don't know",11,1790,NA
".","Missing",3267,5057,NA
