"ARQ021CB.Code.or.Value","ARQ021CB.Value.Description","ARQ021CB.Count","ARQ021CB.Cumulative","ARQ021CB.Skip.to.Item"
"3","stiffness?",152,152,NA
".","Missing",4954,5106,NA
