"WTSPO44.Code.or.Value","WTSPO44.Value.Description","WTSPO44.Count","WTSPO44.Cumulative","WTSPO44.Skip.to.Item"
"0.0000000 to 841160.5084800","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
