"FFQ0014A.Code.or.Value","FFQ0014A.Value.Description","FFQ0014A.Count","FFQ0014A.Cumulative","FFQ0014A.Skip.to.Item"
1,"Almost never or never",1026,1026,NA
2,"About 1/4 of the time",979,2005,NA
3,"About 1/2 the time",1023,3028,NA
4,"About 3/4 of the time",589,3617,NA
5,"Almost always or always",1812,5429,NA
88,"Blank",584,6013,NA
99,"Error",0,6013,NA
