"MSDPTIME.Code.or.Value","MSDPTIME.Value.Description","MSDPTIME.Count","MSDPTIME.Cumulative","MSDPTIME.Skip.to.Item"
"0 to 19.78","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
