"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2358,2358,NA
"1","Below lower detection limit",8,2366,NA
".","Missing",96,2462,NA
