"CBD620.Code.or.Value","CBD620.Value.Description","CBD620.Count","CBD620.Cumulative","CBD620.Skip.to.Item"
"0 to 20","Range of Values",3502,3502,NA
"77777777","Refused",0,3502,NA
"99999999","Don't know",346,3848,NA
".","Missing",2551,6399,NA
