"VIQ060.Code.or.Value","VIQ060.Value.Description","VIQ060.Count","VIQ060.Cumulative","VIQ060.Skip.to.Item"
"0","None of the time,",2042,2042,NA
"1","A little of the time,",227,2269,NA
"2","Some of the time,",124,2393,NA
"3","Most of the time, or",57,2450,NA
"4","All of the time?",99,2549,NA
"7","Refused",2,2551,NA
"9","Don't know",7,2558,NA
".","Missing",5,2563,NA
