"AUDTYL30.Code.or.Value","AUDTYL30.Value.Description","AUDTYL30.Count","AUDTYL30.Cumulative","AUDTYL30.Skip.to.Item"
"0 to 2.47","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
