"MCQ300c.Code.or.Value","MCQ300c.Value.Description","MCQ300c.Count","MCQ300c.Cumulative","MCQ300c.Skip.to.Item"
"1","Yes",2624,2624,NA
"2","No",2863,5487,NA
"7","Refused",1,5488,NA
"9","Don't know",81,5569,NA
".","Missing",3328,8897,NA
