"DUQ360.Code.or.Value","DUQ360.Value.Description","DUQ360.Count","DUQ360.Cumulative","DUQ360.Skip.to.Item"
"1 to 30","Range of Values",34,34,NA
"77","Refused",0,34,NA
"99","Don't know",0,34,NA
".","Missing",4538,4572,NA
