"FSD401.Code.or.Value","FSD401.Value.Description","FSD401.Count","FSD401.Cumulative","FSD401.Skip.to.Item"
"1","Often",124,124,NA
"2","Sometimes",551,675,NA
"3","Never",2817,3492,NA
"7","Refused",2,3494,NA
"9","Don't know",11,3505,NA
".","Missing",7032,10537,NA
